Week,Salesperson,Total Sales,Region,Notes,Anomalies
Week 1,Casey,12987,South,,
,,,,,
Week 2,Casey,11243,South,,
Week 3,Casey,14876,South,,
Week 4,Casey,11179,South,Check client invoices.,
Week 1,Jordan,13310,South,Great start!,
Week 2,Jordan,14930,South,Great start!,
Week 3,Jordan,10845,South,,
Week 4,Jordan,11305,South,Double-check sales numbers.,
Week 1,Morgan,11734,South,Team lunch this Friday.,
Week 2,Morgan,13205,South,,
Week 3,Morgan,12766,South,,
Week 4,Morgan,14421,South,,
Week 1,Alex,10753,South,Missed weekly target.,
Week 2,Alex,13596,South,Team lunch this Friday.,
Week 3,Alex,12546,South,Team lunch this Friday.,
Week 4,Alex,11799,South,Missed weekly target.,
,,,,End of January 2023 reminder: submit all expenses and reports!,
Week 1,Jamie,14078,East,,
Week 2,Jamie,10028,East,Great start!,
Week 3,Jamie,14953,East,Team lunch this Friday.,
Week 4,Jamie,12469,East,Missed weekly target.,
Week 1,Casey,14830,East,Great start!,
Week 2,Casey,13730,East,,
Week 3,Casey,12489,East,,
Week 4,Casey,14201,East,,
Week,Name,Sales,Area,Comments,Err
Week 1,Jordan,13841,East,Missed weekly target.,
Week 2,Jordan,12418,East,,
Week 3,Jordan,10181,East,,
Week 4,Jordan,10525,East,,
Week 1,Morgan,13557,East,,
Week 2,Morgan,12444,East,,
Week 3,Morgan,10127,East,,
Week 4,Morgan,13252,East,,
Week 1,Alex,13216,East,,
Week 2,Alex,11909,East,Double-check sales numbers.,
Week 3,Alex,12276,East,,
Week 4,Alex,11782,East,Missed weekly target.,
,,,,This month was tough for West - Jamie had scheduling issues.,
Week 1,Jamie,12614,West,Check client invoices.,
Week 2,Jamie,,West,SICK - NO SALES,
Week 3,Jamie,14997,West,Great start!,
Week 4,Jamie,12634,West,Team lunch this Friday.,
Week 1,Casey,11233,West,,
Week 2,Casey,14478,West,Team lunch this Friday.,
,,,,,
Week 3,Casey,11111,West,Double-check sales numbers.,
Week 4,Casey,11125,West,Missed weekly target.,
Week 1,Jordan,13437,West,Check client invoices.,
Week 2,Jordan,14704,West,,
Week 3,Jordan,10612,West,Great start!,
Week 4,Jordan,11289,West,Missed weekly target.,
Week 1,Morgan,10397,West,,
Week 2,Morgan,12489,West,Check client invoices.,
Week 3,Morgan,12827,West,,
Week 4,Morgan,12349,West,Team lunch this Friday.,
Week 1,Alex,11882,West,,
Week 2,Alex,,West,SICK - NO SALES,
Week 3,Alex,,West,SICK - NO SALES,
Week 4,Alex,,West,SICK - NO SALES,
Week 1,Jamie,10103,North,Check client invoices.,
Week 2,Jamie,13467,North,,
Week 3,Jamie,13356,North,Great start!,
Week 4,Jamie,10858,North,,
Week 1,Casey,11510,North,Missed weekly target.,
Week 2,Casey,10662,North,Team lunch this Friday.,
Week 3,Casey,11641,North,Great start!,
Week 4,Casey,10363,North,,
Week 1,Jordan,14409,North,,
Week 2,Jordan,13372,North,,
Week 3,Jordan,14206,North,Great start!,
Week 4,Jordan,11498,North,,
Week 1,Morgan,12127,North,,
Week 2,Morgan,11407,North,Check client invoices.,
Week 3,Morgan,11297,North,Missed weekly target.,
,,,,This month was tough for North - Morgan had scheduling issues.,
Week 4,Morgan,13549,North,,
Week 1,Alex,10243,North,,
Week 2,Alex,10797,North,,
Week 3,Alex,13153,North,Missed weekly target.,
Week 4,Alex,11631,North, ERROR: Data entry problem.,
Week 1,Jamie,14040,South,Missed weekly target.,
Week 2,Jamie,11064,South,,
Week 3,Jamie,10580,South,Great start!,
Week 4,Jamie,12514,South,,
Week 1,Casey,12785,South,,
Week 2,Casey,13494,South,,
Week 3,Casey,14251,South,,
Week 4,Casey,13818,South,Missed weekly target.,
Week 1,Jordan,13940,South,,
Week 2,Jordan,13742,South,,
Week 3,Jordan,13492,South,Missed weekly target.,
Week 4,Jordan,14516,South,Great start!,
Week 1,Morgan,12514,South,,
Week 2,Morgan,11730,South,Missed weekly target.,
Week 3,Morgan,11903,South,Check client invoices.,
Week 4,Morgan,10239,South,Team lunch this Friday.,
Week 1,Alex,10060,South,Team lunch this Friday.,
Week 2,Alex,14112,South,,
Week 3,Alex,14268,South,,
Week 4,Alex,13661,South,Missed weekly target.,
,,,,,
,,,,End of February 2023 reminder: submit all expenses and reports!,
Week 1,Jamie,12504,East,,
Week 2,Jamie,11635,East,,
Week 3,Jamie,14192,East,,
Week 4,Jamie,10372,East,,
Week 1,Casey,13527,East,Great start!,
Week 2,Casey,13470,East,Team lunch this Friday.,
Week 3,Casey,,East,SICK - NO SALES,
Week 4,Casey,11466,East,Team lunch this Friday.,
Week 1,Jordan,13094,East,Team lunch this Friday.,
Week 2,Jordan,14369,East,Great start!,
Week 3,Jordan,14124,East,,
Week 4,Jordan,11802,East,Missed weekly target.,
Week 1,Morgan,,East,SICK - NO SALES,
Week 2,Morgan,12978,East,Missed weekly target.,
Week 3,Morgan,12321,East,,
Week 4,Morgan,13401,East,Missed weekly target.,
Week 1,Alex,14267,East,Missed weekly target.,
Week 2,Alex,10707,East,,
,,,,This month was tough for East - Alex had scheduling issues.,
Week 3,Alex,12225,East,,
Week 4,Alex,14754,East,Missed weekly target.,
Week 1,Jamie,14657,West,Great start!,
Week 2,Jamie,13792,West,Great start!,
Week 3,Jamie,11228,West,,
Week 4,Jamie,14966,West,,
Week 1,Casey,12582,West,Missed weekly target.,
Week 2,Casey,13423,West,,
Week 3,Casey,12765,West,Check client invoices.,
Week 4,Casey,13880,West,,
Week 1,Jordan,10640,West,,
Week 2,Jordan,14327,West,,
Week 3,Jordan,12037,West,,
Week 4,Jordan,10155,West,,
Week 1,Morgan,10054,West,Missed weekly target.,
Week 2,Morgan,10208,West,,
Week 3,Morgan,11866,West,,
Week 4,Morgan,12918,West,Check client invoices.,
Week 1,Alex,13599,West,Team lunch this Friday.,
Week 2,Alex,13919,West,Team lunch this Friday.,
Week 3,Alex,12941,West,Check client invoices.,
Week 4,Alex,11335,West,,
Week 1,Jamie,11381,North,Team lunch this Friday.,
Week 2,Jamie,14159,North,,
Week 3,Jamie,10312,North,,
Week 4,Jamie,,North,SICK - NO SALES,
Week 1,Casey,12504,North,Team lunch this Friday.,
Week 2,Casey,14602,North,Team lunch this Friday.,
Week 3,Casey,10594,North,Great start! ERROR: Data entry problem.,
Week 4,Casey,10523,North,Check client invoices.,
Week 1,Jordan,14682,North,Double-check sales numbers.,
Week 2,Jordan,11401,North,Great start!,
Week 3,Jordan,13878,North,,
Week 4,Jordan,13644,North,Missed weekly target.,
Week 1,Morgan,12965,North,Team lunch this Friday.,
Week 2,Morgan,12783,North,,
Week 3,Morgan,10301,North,,
Week 4,Morgan,10416,North,,
Week 1,Alex,13190,North,,
Week 2,Alex,14352,North,,
Week 3,Alex,14468,North,Missed weekly target.,
Week 4,Alex,12288,North,Double-check sales numbers.,
Week 1,Jamie,11188,South,Team lunch this Friday.,
Week 2,Jamie,11758,South,,
Week 3,Jamie,14124,South,Missed weekly target.,
Week 4,Jamie,10171,South,,
Week 1,Casey,13827,South,,
Week 2,Casey,14971,South,Great start!,
Week 3,Casey,13625,South,Great start!,
Week 4,Casey,10512,South,Great start!,
Week 1,Jordan,11286,South,Missed weekly target.,
Week 2,Jordan,10511,South,,
Week 3,Jordan,13799,South,Missed weekly target.,
Week 4,Jordan,11000,South,Great start!,
Week 1,Morgan,10250,South,Double-check sales numbers.,
Week 2,Morgan,10665,South,,
Week 3,Morgan,14081,South,Check client invoices.,
Week 4,Morgan,14450,South,Great start!,
Week 1,Alex,11030,South,,
Week 2,Alex,12506,South,Team lunch this Friday.,
Week 3,Alex,11301,South,Check client invoices.,
Week 4,Alex,11400,South,,
,,,,End of March 2023 reminder: submit all expenses and reports!,
Week 1,Jamie,11257,East,Double-check sales numbers.,
Week 2,Jamie,13967,East,Missed weekly target.,
Week 3,Jamie,11252,East,Great start!,
Week 4,Jamie,13049,East,Great start!,
Week 1,Casey,10267,East,Missed weekly target.,
Week 2,Casey,14742,East,Missed weekly target.,
Week 3,Casey,10505,East,Team lunch this Friday.,
Week 4,Casey,14440,East,,
Week 1,Jordan,11959,East,,
Week 2,Jordan,14698,East,Great start!,
Week 3,Jordan,13877,East,Check client invoices.,
Week 4,Jordan,10126,East,Check client invoices.,
Week 1,Morgan,11714,East,,
Week 2,Morgan,14868,East,,
Week 3,Morgan,13610,East,Team lunch this Friday.,
Week 4,Morgan,11756,East,Team lunch this Friday.,
Week 1,Alex,12341,East,,
Week 2,Alex,12064,East,,
Week 3,Alex,10455,East,,
Week 4,Alex,10859,East,Check client invoices.,
Week 1,Jamie,10062,West,Missed weekly target.,
Week 2,Jamie,13139,West,Great start!,
Week 3,Jamie,13504,West,Team lunch this Friday.,
Week 4,Jamie,12479,West,,
Week 1,Casey,13959,West,Team lunch this Friday.,
Week 2,Casey,14535,West,,
Week 3,Casey,13486,West,,
Week 4,Casey,10966,West,,
Week 1,Jordan,11610,West,,
Week 2,Jordan,13467,West,,
Week 3,Jordan,10080,West,Missed weekly target.,
Week 4,Jordan,13195,West,Team lunch this Friday.,
Week 1,Morgan,14618,West,,
Week 2,Morgan,11851,West,Double-check sales numbers.,
Week 3,Morgan,13238,West,,
Week 4,Morgan,11374,West,,
Week 1,Alex,10278,West,Missed weekly target.,
Week 2,Alex,10344,West,Double-check sales numbers.,
Week 3,Alex,,West,SICK - NO SALES,
Week 4,Alex,11131,West,Great start!,
Week 1,Jamie,13889,North,Double-check sales numbers.,
Week 2,Jamie,13589,North,Double-check sales numbers.,
Week 3,Jamie,13127,North,Missed weekly target.,
Week 4,Jamie,10609,North,,
Week 1,Casey,10080,North,,
Week 2,Casey,13489,North,,
,,,,,
Week,Name,Sales,Area,Comments,Err
Week 3,Casey,12779,North,,
Week 4,Casey,10268,North,,
Week 1,Jordan,14862,North,,
Week 2,Jordan,11215,North,,
Week 3,Jordan,12926,North,,
,,,,,
Week 4,Jordan,14144,North,Team lunch this Friday.,
Week 1,Morgan,10997,North,,
Week 2,Morgan,13818,North,Check client invoices.,
Week 3,Morgan,10969,North,Check client invoices.,
Week 4,Morgan,12151,North,,
Week 1,Alex,10909,North,Missed weekly target.,
Week 2,Alex,10392,North,,
,,,,,
Week 3,Alex,13982,North,Team lunch this Friday.,
Week 4,Alex,13556,North,,
Week 1,Jamie,14014,South,Double-check sales numbers.,
Week 2,Jamie,13899,South,,
Week 3,Jamie,11138,South,,
Week 4,Jamie,14204,South,,
Week 1,Casey,14489,South,,
Week 2,Casey,11355,South,,
Week 3,Casey,13298,South,Missed weekly target.,
Week 4,Casey,14453,South,Team lunch this Friday.,
Week 1,Jordan,13550,South,,
Week 2,Jordan,10855,South,Double-check sales numbers.,
Week 3,Jordan,12561,South,Check client invoices.,
Week 4,Jordan,12035,South,Great start!,
Week 1,Morgan,11323,South,,
,,,,This month was tough for South - Morgan had scheduling issues.,
Week 2,Morgan,13470,South,Team lunch this Friday.,
Week 3,Morgan,12025,South,,
Week 4,Morgan,10970,South,,
Week 1,Alex,13762,South,,
Week 2,Alex,10711,South,Great start!,
Week 3,Alex,13282,South,,
Week 4,Alex,14593,South,Team lunch this Friday.,
,,,,End of April 2023 reminder: submit all expenses and reports!,
Week 1,Jamie,11397,East,,
Week 2,Jamie,10681,East,Check client invoices.,
Week 3,Jamie,14294,East,Great start!,
Week 4,Jamie,14550,East,,
Week 1,Casey,14091,East,,
Week 2,Casey,12174,East,,
Week 3,Casey,14466,East,Missed weekly target.,
Week,Name,Sales,Area,Comments,Err
Week 4,Casey,11647,East,Great start!,
Week 1,Jordan,12258,East,,
Week 2,Jordan,10972,East,Check client invoices.,
Week 3,Jordan,12512,East,,
Week 4,Jordan,12880,East,Team lunch this Friday.,
Week 1,Morgan,13271,East,,
Week 2,Morgan,14331,East,,
Week 3,Morgan,10228,East,Double-check sales numbers.,
Week 4,Morgan,12403,East,,
Week 1,Alex,14147,East,Team lunch this Friday.,
Week 2,Alex,10300,East,,
Week 3,Alex,12117,East,,
Week 4,Alex,11100,East,,
Week 1,Jamie,11560,West,Check client invoices.,
Week 2,Jamie,11548,West,Team lunch this Friday.,
Week 3,Jamie,12863,West,,
Week 4,Jamie,11296,West,,
Week 1,Casey,11602,West,Check client invoices.,
Week 2,Casey,14545,West,,
Week 3,Casey,14473,West,,
Week 4,Casey,10732,West,,
Week 1,Jordan,13905,West,,
,,,,This month was tough for West - Jordan had scheduling issues.,
Week 2,Jordan,13961,West,Great start!,
Week 3,Jordan,10231,West,Check client invoices.,
Week 4,Jordan,12996,West,Great start!,
Week 1,Morgan,14462,West,Great start!,
Week 2,Morgan,13120,West,Check client invoices. ERROR: Data entry problem.,
Week 3,Morgan,14810,West,,
Week 4,Morgan,10563,West,Missed weekly target.,
Week 1,Alex,13340,West,Check client invoices.,
Week 2,Alex,12502,West,,
Week 3,Alex,14350,West,Double-check sales numbers.,
Week 4,Alex,13061,West,Team lunch this Friday.,
Week 1,Jamie,13187,North,Double-check sales numbers.,
Week 2,Jamie,13317,North,Great start!,
Week 3,Jamie,13011,North,,
Week 4,Jamie,13198,North,Double-check sales numbers.,
Week 1,Casey,11195,North,Double-check sales numbers.,
Week 2,Casey,14437,North,,
Week 3,Casey,12680,North,Team lunch this Friday.,
Week 4,Casey,11498,North,Missed weekly target.,
Week 1,Jordan,10686,North,,
Week 2,Jordan,10701,North,Double-check sales numbers.,
Week 3,Jordan,10355,North,Great start!,
Week 4,Jordan,,North,SICK - NO SALES,
Week 1,Morgan,13941,North,Check client invoices.,
Week 2,Morgan,11838,North,Team lunch this Friday.,
Week 3,Morgan,,North,SICK - NO SALES,
Week 4,Morgan,12053,North,,
Week 1,Alex,12185,North,,
Week 2,Alex,10316,North,,
Week 3,Alex,11539,North,,
Week 4,Alex,11895,North,,
Week 1,Jamie,12438,South,,
Week,Name,Sales,Area,Comments,Err
Week 2,Jamie,13288,South,,
Week 3,Jamie,14522,South,,
Week 4,Jamie,10336,South,,
Week 1,Casey,12471,South,Team lunch this Friday.,
Week 2,Casey,10656,South,,
Week 3,Casey,13817,South,Missed weekly target.,
Week 4,Casey,11945,South,,
Week 1,Jordan,13692,South,,
Week 2,Jordan,10782,South,Double-check sales numbers.,
Week 3,Jordan,12598,South,Great start!,
Week 4,Jordan,13199,South,,
Week 1,Morgan,13787,South,,
Week 2,Morgan,12236,South,,
Week 3,Morgan,13649,South,Great start!,
Week 4,Morgan,11993,South,,
Week 1,Alex,10178,South,Check client invoices.,
Week 2,Alex,10332,South,Team lunch this Friday.,
,,,,,
Week 3,Alex,12062,South,Check client invoices.,
Week 4,Alex,12695,South,,
,,,,End of January 2024 reminder: submit all expenses and reports!,
Week 1,Jamie,13058,East,Missed weekly target.,
Week 2,Jamie,10005,East,Double-check sales numbers.,
Week 3,Jamie,11610,East,,
Week 4,Jamie,13633,East,Great start!,
Week 1,Casey,,East,SICK - NO SALES,
Week 2,Casey,12018,East,Check client invoices.,
Week 3,Casey,14262,East,,
Week 4,Casey,13561,East,Missed weekly target.,
Week 1,Jordan,10305,East,,
,,,,,
Week 2,Jordan,13196,East,,
Week 3,Jordan,11510,East,Great start!,
Week 4,Jordan,14023,East,Missed weekly target.,
Week 1,Morgan,14518,East,,
Week 2,Morgan,10477,East,,
Week 3,Morgan,10573,East,,
Week 4,Morgan,10145,East,Team lunch this Friday.,
Week 1,Alex,10943,East,,
Week 2,Alex,12469,East,Team lunch this Friday.,
Week 3,Alex,11056,East,,
Week 4,Alex,13721,East,Check client invoices.,
Week 1,Jamie,12982,West,Double-check sales numbers.,
,,,,,
Week 2,Jamie,14703,West, ERROR: Data entry problem.,
Week 3,Jamie,14232,West,,
,,,,,
Week 4,Jamie,11795,West,,
Week 1,Casey,14928,West,,
Week 2,Casey,14062,West,,
Week 3,Casey,10946,West,,
Week 4,Casey,14515,West,Great start!,
Week 1,Jordan,12993,West,,
Week 2,Jordan,12050,West,,
,,,,,
Week 3,Jordan,11100,West,,
Week 4,Jordan,14473,West,Check client invoices.,
Week 1,Morgan,13008,West,,
Week 2,Morgan,11324,West,,
Week 3,Morgan,10853,West,Double-check sales numbers.,
Week 4,Morgan,14980,West,Great start!,
Week 1,Alex,13229,West,,
Week 2,Alex,11950,West,Check client invoices.,
Week 3,Alex,11054,West,Double-check sales numbers.,
"Week, Salesperson, Total Sales, Region, Notes, Anomalies",,,,,
,,,,,
Week 4,Alex,12651,West,Check client invoices.,
Week 1,Jamie,13111,North,,
Week 2,Jamie,11404,North,,
Week 3,Jamie,13748,North,Great start!,
Week 4,Jamie,10421,North,Check client invoices.,
Week 1,Casey,13582,North,,
Week 2,Casey,10711,North,Great start!,
Week 3,Casey,10929,North,,
Week 4,Casey,11541,North,,
Week 1,Jordan,13567,North,Great start!,
Week 2,Jordan,12844,North,Great start!,
,,,,This month was tough for North - Jordan had scheduling issues.,
Week 3,Jordan,13095,North,Missed weekly target.,
Week 4,Jordan,13578,North,Great start!,
Week 1,Morgan,13500,North,,
Week 2,Morgan,11412,North,,
Week 3,Morgan,12208,North,,
Week 4,Morgan,13630,North,,
Week 1,Alex,12908,North,Team lunch this Friday.,
Week 2,Alex,13283,North,,
Week 3,Alex,11198,North,Team lunch this Friday.,
Week 4,Alex,12567,North,,
Week 1,Jamie,12409,South,,
Week 2,Jamie,13823,South,Check client invoices.,
Week 3,Jamie,10466,South,Double-check sales numbers.,
Week 4,Jamie,10490,South,Missed weekly target.,
Week 1,Casey,10749,South,,
Week 2,Casey,10652,South,Check client invoices.,
Week 3,Casey,12024,South,Missed weekly target.,
Week 4,Casey,11105,South,,
,,,,,
Week 1,Jordan,11537,South,Check client invoices.,
Week 2,Jordan,11628,South,Great start!,
Week 3,Jordan,10053,South,Missed weekly target.,
Week 4,Jordan,13702,South,Check client invoices.,
Week 1,Morgan,12953,South,Team lunch this Friday.,
Week 2,Morgan,11553,South,,
Week 3,Morgan,14486,South,,
Week 4,Morgan,11239,South,,
Week,Name,Sales,Area,Comments,Err
Week 1,Alex,14632,South,,
Week 2,Alex,10868,South,,
Week 3,Alex,11727,South,,
Week 4,Alex,13142,South,,
,,,,End of February 2024 reminder: submit all expenses and reports!,
Week 1,Jamie,12603,East,,
Week 2,Jamie,14119,East,,
Week 3,Jamie,14594,East,Double-check sales numbers.,
Week 4,Jamie,14036,East,Missed weekly target.,
Week 1,Casey,14996,East,Missed weekly target.,
Week 2,Casey,11803,East,Great start!,
Week 3,Casey,11432,East,Great start!,
Week 4,Casey,10995,East,Team lunch this Friday.,
Week 1,Jordan,11489,East,Great start!,
Week 2,Jordan,11110,East,,
Week 3,Jordan,11470,East,,
Week 4,Jordan,11360,East,Double-check sales numbers.,
Week 1,Morgan,10007,East,Double-check sales numbers.,
Week 2,Morgan,13926,East,,
Week 3,Morgan,11445,East,,
Week 4,Morgan,10423,East,Missed weekly target.,
Week 1,Alex,14533,East,Great start!,
Week 2,Alex,10850,East, ERROR: Data entry problem.,
Week 3,Alex,10606,East,Team lunch this Friday.,
Week 4,Alex,13762,East,,
Week 1,Jamie,12848,West,,
Week 2,Jamie,12300,West,,
Week 3,Jamie,11033,West,Double-check sales numbers.,
Week 4,Jamie,14021,West,,
Week 1,Casey,14830,West,,
Week 2,Casey,14590,West,,
Week 3,Casey,14327,West,,
,,,,This month was tough for West - Casey had scheduling issues.,
Week 4,Casey,10120,West,,
Week 1,Jordan,12449,West,,
Week 2,Jordan,10118,West, ERROR: Data entry problem.,
Week 3,Jordan,12117,West,Team lunch this Friday.,
Week 4,Jordan,13155,West,Double-check sales numbers.,
Week 1,Morgan,12986,West,Missed weekly target.,
Week 2,Morgan,11446,West,Team lunch this Friday.,
Week 3,Morgan,10921,West,Check client invoices.,
Week 4,Morgan,11769,West,,
Week 1,Alex,14733,West,,
Week 2,Alex,11011,West,Great start!,
Week 3,Alex,14364,West,Missed weekly target.,
Week 4,Alex,14342,West,,
Week 1,Jamie,10563,North,,
Week 2,Jamie,13565,North,,
Week 3,Jamie,13576,North,,
Week 4,Jamie,10816,North,,
Week 1,Casey,12920,North,,
Week 2,Casey,12225,North,Missed weekly target.,
Week 3,Casey,13540,North,,
Week 4,Casey,13289,North,,
Week 1,Jordan,12125,North,,
Week 2,Jordan,13902,North,,
Week 3,Jordan,10108,North,,
Week 4,Jordan,14480,North,,
Week 1,Morgan,14904,North,,
Week 2,Morgan,14360,North,,
Week 3,Morgan,11498,North, ERROR: Data entry problem.,
Week 4,Morgan,11584,North,Check client invoices.,
Week 1,Alex,13589,North,,
Week 2,Alex,14586,North,,
Week 3,Alex,14569,North,Double-check sales numbers.,
Week 4,Alex,10913,North,Team lunch this Friday.,
Week 1,Jamie,11084,South,,
Week 2,Jamie,12394,South,,
Week 3,Jamie,12367,South,,
Week 4,Jamie,12777,South,Team lunch this Friday.,
Week 1,Casey,10742,South,,
Week 2,Casey,14536,South,,
Week 3,Casey,11936,South,Missed weekly target.,
Week 4,Casey,10632,South,,
Week 1,Jordan,13242,South,Great start!,
Week 2,Jordan,11211,South,Check client invoices.,
Week 3,Jordan,11293,South,,
Week 4,Jordan,12959,South,Team lunch this Friday.,
Week 1,Morgan,13718,South,,
Week 2,Morgan,10538,South,,
Week 3,Morgan,11637,South, ERROR: Data entry problem.,
Week 4,Morgan,11816,South,,
Week 1,Alex,10488,South,,
Week 2,Alex,12478,South, ERROR: Data entry problem.,
Week,Name,Sales,Area,Comments,Err
Week 3,Alex,12705,South,,
Week 4,Alex,10815,South,Great start!,
Week 1,Jamie,10790,East,,
Week 2,Jamie,10726,East,Great start!,
Week 3,Jamie,11486,East,Double-check sales numbers.,
Week 4,Jamie,14360,East,Team lunch this Friday.,
"Week, Salesperson, Total Sales, Region, Notes, Anomalies",,,,,
,,,,,
,,,,This month was tough for East - Casey had scheduling issues.,
Week 1,Casey,10245,East,Double-check sales numbers.,
Week 2,Casey,10817,East,Missed weekly target.,
Week 3,Casey,12758,East,,
Week 4,Casey,12559,East,,
Week 1,Jordan,14947,East,,
Week 2,Jordan,12871,East,Missed weekly target.,
Week 3,Jordan,14776,East,Team lunch this Friday. ERROR: Data entry problem.,
Week 4,Jordan,14427,East,,
Week 1,Morgan,11930,East,Missed weekly target.,
Week 2,Morgan,13503,East,Double-check sales numbers.,
Week 3,Morgan,12010,East,,
Week 4,Morgan,13407,East,,
Week 1,Alex,13660,East,,
Week 2,Alex,12538,East,,
Week 3,Alex,13061,East,,
Week 4,Alex,14421,East,,
Week 1,Jamie,,West,SICK - NO SALES,
Week 2,Jamie,13419,West,Team lunch this Friday.,
Week 3,Jamie,11989,West,,
Week 4,Jamie,12766,West,,
Week 1,Casey,13409,West,,
Week 2,Casey,10102,West,,
Week 3,Casey,13457,West,Team lunch this Friday.,
Week 4,Casey,10171,West,,
Week 1,Jordan,10258,West,Double-check sales numbers.,
Week 2,Jordan,11907,West,Missed weekly target.,
Week 3,Jordan,10638,West,,
Week 4,Jordan,14420,West,Check client invoices.,
Week 1,Morgan,11731,West,Double-check sales numbers.,
Week 2,Morgan,14694,West,,
Week 3,Morgan,14493,West,,
Week 4,Morgan,13067,West,,
Week 1,Alex,10748,West,Great start!,
Week 2,Alex,14199,West,,
Week 3,Alex,12198,West,,
Week 4,Alex,14636,West,,
Week 1,Jamie,12261,North,,
Week 2,Jamie,14570,North,Check client invoices.,
Week 3,Jamie,11430,North,,
Week 4,Jamie,10611,North,Missed weekly target.,
Week 1,Casey,11073,North,Missed weekly target.,
Week 2,Casey,13105,North,Check client invoices.,
Week 3,Casey,11244,North,Team lunch this Friday.,
Week 4,Casey,11745,North,,
"Week, Salesperson, Total Sales, Region, Notes, Anomalies",,,,,
,,,,,
,,,,,
Week 1,Jordan,10280,North,Team lunch this Friday.,
Week 2,Jordan,14397,North,Great start!,
Week 3,Jordan,13316,North,Missed weekly target.,
Week 4,Jordan,13415,North,,
Week 1,Morgan,14006,North,,
Week 2,Morgan,14611,North,,
Week 3,Morgan,13225,North,,
Week 4,Morgan,11699,North,Great start!,
Week 1,Alex,13563,North,,
Week 2,Alex,12132,North,Missed weekly target.,
Week 3,Alex,11248,North,Missed weekly target.,
Week 4,Alex,11192,North,Great start!,
Week 1,Jamie,10529,South,,
Week 2,Jamie,10081,South,,
Week 3,Jamie,11886,South,Check client invoices.,
Week 4,Jamie,14886,South,Missed weekly target.,
Week 1,Casey,14098,South,Check client invoices.,
Week 2,Casey,14607,South,Great start!,
Week 3,Casey,13962,South,,
Week 4,Casey,10059,South,,
Week 1,Jordan,10813,South,,
Week 2,Jordan,11493,South,,
Week 3,Jordan,11919,South,,
Week 4,Jordan,14415,South,,
Week 1,Morgan,14245,South,Team lunch this Friday.,
Week 2,Morgan,13533,South,Team lunch this Friday.,
Week 3,Morgan,11546,South,Team lunch this Friday.,
Week 4,Morgan,11956,South,Double-check sales numbers.,
Week 1,Alex,,South,SICK - NO SALES,
Week 2,Alex,11224,South,,
Week 3,Alex,14288,South,Missed weekly target.,
Week 4,Alex,13196,South,Great start!,
,,,,End of April 2024 reminder: submit all expenses and reports!,
